,title,author,rating,price(₹),reading_age,page,language,publisher,weight(g),quantity,country,description
152,Doodle Coloring For Kids - Blue Edition,Wonder House Books,4.5,97, 5 - 8 years,32,English,"Wonder House Books; First Edition (20 August 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265653",150 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
153,UPPSC LT Grade Mathematics Exam Book By DR. Gajendra Purohit,Dr. Gajendra Purohit,5.0,449,no reading age,302,no language,GPS Publication House; 2025th edition (31 August 2025),700 g,1 Count,India,no description
154,The Dark Side Of Startups | Hindi Edition | Arvind Arora | Pranesh Jain,Arvind Arora,4.1,44,18 years and up,150,Hindi,Invincible Publication Pvt Ltd.; First Edition (17 August 2023); Invincible Publication Pvt Ltd.,430 g,1 Count,India,no description
155,"MTG National Science Olympiad (NSO) Workbook Class 5 - Chapterwise Quick Recap, Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam",ANIL AHLAWAT,4.6,98,no reading age,64,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",100 g,100 Count,India,no description
156,ABHIRAMI ANTHATHI (Tamil),Abirami Pattar,4.3,no price,no reading age,50,Tamil,Public Domain Books (3 November 2016),no weight,no quantity,no country,no description
157,"Delhi Police Practice Sets Book 2025-26 Edition, Hindi Medium, 30 Practice Sets and 2 Solved Papers, Maths, Reasoning, GK, Science.",Ankit Bhati,4.3,155,16 years and up,310,Hindi,Rojgar Publication; 2025-26 Edition (30 June 2025),250 g,no quantity,no country,no description
158,"Blue Book Series Booster Child Development & Pedagogy (CDP) Book by Prateek Shivalik | 5000+ Topic Wise Questions | Latest Pattern MCQs For DSSSB, ... PRT, TGT & All Teaching Exams 2025 (Hindi)",Prateek Shivalik,5.0,339,18 years and up,260,Hindi,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),460 g,1.0 Count,no country,no description
159,"DSSSB NIOS Summary Book, Bilingual Edition, Latest Exam Pattern, Block-wise Summary with PYQ MCQ, Adhyayan Mantra, Rohit Vaidwan",Rohit Vaidwan,5.0,399,no reading age,407,Multilingual,Adhyayan Mantra; 2025th edition (2 October 2025),480 g,1 Count,no country,no description
160,UPPSC LT Grade Mathematics Exam Book By DR. Gajendra Purohit,Dr. Gajendra Purohit,5.0,449,no reading age,302,no language,GPS Publication House; 2025th edition (31 August 2025),700 g,1 Count,India,no description
161,"MTG 20 Years (2025-2006) Karnataka CET Chapterwise Solutions Physics, Chemistry & Mathematics | KCET Previous Year Solved Papers | KCET PYQ Book For Engineering Entrance Exam 2026",MTG Editorial Board,4.3,422,no reading age,524,English,"MTG Learning Media Pvt. Ltd. (19 May 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",585 g,585 Count,India,no description
162,ECLIPSE,Stephenie Meyer,4.6,296,12 years and up,576,English,Atom; 2008th edition (3 July 2008),393 g,500.00 Grams,United Kingdom,"The sexiest vampire tale for years arrived in Stephenie Meyer's TWILIGHT, about teenage Bella's chaste romance with a beautiful vampire boy. Their intensely erotic feelings are endangered by more predatory types. Guaranteed to suck in sulky 13+ girls for hours. ―"
163,"MTG National Science Olympiad (NSO) Workbook Class 6 - Chapterwise Quick Recap, Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam",ANIL AHLAWAT,4.4,97,no reading age,80,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",120 g,120 Count,India,no description
164,Girte Phoolon ka ganit (गिरते फूलों का गणित) poetry book by Anupama Kriti,Anupama Kriti,5.0,225,no reading age,128,no language,Pankti Prakashan (9 September 2025),100 g,no quantity,no country,no description
165,"SSC GD Constable Practice Set Book, Hindi Medium, 25 Sets MCQ for BSF, CRPF, SSB, CISF, ITBP, SSF Exam 2026",SURJEET SHARMA,no rating,199,no reading age,102,no language,Army dost; 2026th edition (22 September 2025),240 g,195.0 Count,India,no description
166,The Dark Side Of Startups | Hindi Edition | Arvind Arora | Pranesh Jain,Arvind Arora,4.1,44,18 years and up,150,Hindi,Invincible Publication Pvt Ltd.; First Edition (17 August 2023); Invincible Publication Pvt Ltd.,430 g,1 Count,India,no description
167,"Blue Book Series Booster General Knowledge (GK) Book by Prateek Shivalik | 2500+ Topic Wise Questions | Latest Pattern MCQs For DSSSB, CTET, UPTET, ... PRT, TGT & All Teaching Exams 2025 (English)",Prateek Shivalik,4.5,329,18 years and up,242,English,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),500 g,1.0 Count,no country,no description
168,UP Police Constable Combo Of 4 Books Updated 2025 (Reasoning+Maths+Samanya Hindi+Samanya Adhyan) By Aditya Ranjan,Aditya Ranjan Sir,no rating,375,14 years and up,732,Hindi,Aditya Ranjan Publications; 2025-26 edition (5 September 2025); Aditya Ranjan Publications,1 kg 300 g,no quantity,India,no description
169,Ret Ki Machhali & Deewar Mein Ek Khidki Rahti Thi (Paper Back),THE BOOK WORM,no rating,389,10 years and up,422,no language,THE BOOK WORM; Special Edition (31 December 2023),440 g,no quantity,no country,no description
170,MIND EXAM Bihar Police Constable Driver Chalak Sipahe Bharti Pariksha Guide With Practice Sets Book For 2025-26 Exam,Manish Choudhary,no rating,225,16 years and up,200,Hindi,Mind Exam Publication; First Edition (29 July 2025); Mind Exam Publication,380 g,1 Count,India,no description
171,Menaka - Class 9 - Dr. Homi Bhabha Balvaidnyanik (Young Scientist Competition) - The Only Official Book - 2025-26 - [ENGLISH MEDIUM] - [THE ORIGINAL BOOK] - 2026/Ed.,The Greater Bombay Science Teachers Association,4.1,250,no reading age,no page,English,Menaka Prakashan; 2026th edition (3 July 2025); Menaka Prakashan,250 g,1 Count,India,no description
172,9th Class - Dr. Homi Bhabha Balvaidnyanik Competition - Official Book - 2025-26 - [ENGLISH MEDIUM],Amit Tekale Shubhada Chaukar,4.0,250,no reading age,180,no language,Menaka Prakashan (10 July 2025); Menaka Prakashan,250 g,no quantity,India,no description
173,Yodha General Reasoning Bilingual Books (FREE Reasoning Saarthi Book) By Ankit Bhati Sir & Rahul Sharma Sir,Ankit Bahti,5.0,315,16 years and up,539,Multilingual,Rojgar Publications; 2025-26 Edition (17 August 2025),1 kg 150 g,2 Set,no country,no description
174,TET-TAT 21 PAPERSET | 2011-2023 | 2375 PYQS | 2ND EDITION 2026,AJAY PATEL,no rating,216,16 years and up,272,no language,Yuva Upnishad Publication; SECOND EDITION (5 October 2025),730 g,no quantity,India,no description
175,"Little Minds at Work Toddler Busy Binder Activity Book for Kids 1 - 4 Years | 16 Reusable Early Learning Preschool Montessori Activities | Travel-Friendly, Screen-Free Educational Toy",Little Minds at Work,4.0,699,1 - 4 years,15,English,Little Minds at Work; Kids Edition (27 August 2025),450 g,1.00 Count,India,no description
176,"Radha Keli Kunj Brahmacharya Book, Kab Kyon Aur Kaise, Spiritual Guide in Hindi, Paperback (Bhajan Marg)",Keli Kunj Vrindavan,5.0,444,no reading age,238,no language,Keli Kunj Vrindavan (31 January 2022),389 g,1 Count,no country,no description
177,"Arihant NIFT/NID Entrance Exam 2026 16 Years’ Solved Papers (2025–2010) For NIFT, NID & IIFT UG & PG Entrance | Complete Coverage with Detailed ... Aptitude Preparation Book | English Medium",Arihant Expert team,3.0,419,no reading age,584,English,"ARIHANT PUBLICATIONS INDIA LIMITED (4 July 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",934 g,no quantity,India,no description
178,UGC NET Psychology Paper 2 Book 2025 | Previous Year Solved Papers 12 Years (2014 to June 2025) | Best Seller UGC NET Psychology PYQ Book for NTA-UGC ... with Detailed Solutions | IFAS Publications,IFAS Publications,4.6,423,16 years and up,510,English,IFAS Publications; Special Edition (22 July 2025),950 g,1 Count,India,no description
179,RRB Section Controller 2025-2026 (Set of 3 Books) Railway Recruitment Board,CHETAN SAKHUJA,no rating,499,no reading age,800,no language,BOOKHIVE INDIA (14 September 2025),900 g,no quantity,no country,no description
180,"Arihant Know Your State Uttar Pradesh | Uttar Pradesh GK Book 2025–26 | UPPSC, PCS, SSC & State Exams | With Coloured Maps, Practice MCQs, PYQs & Updated Budget 2025–26 | Uttar Pradesh General Knowledge Book | Hindi Medium",Rajesh Pandey,no rating,345,no reading age,330,English,"ARIHANT PUBLICATIONS INDIA LIMITED (12 August 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",528 g,1 Count,India,no description
181,"Radhika Mam Science Book Railway 2025 सामान्य विज्ञान | 6300+ PYQs-TCS सहित | Chapterwise Solved Papers (2018-2024) | RRB NTPC, Group D, ALP, Technician, JE, RPF, SI & Constable | Hindi Medium | Radhika Ma'am",Radhika,5.0,269,16 years and up,450,Hindi,RADHIKA MA'AM; 2025th edition (1 January 2024),450 g,1 Count,no country,no description
182,"PW 20 Years Karnataka CET Chapterwise Solved Papers (2006 - 2025) | Physics, Chemistry, Mathematics and Biology | KCET PYQ Book For Engineering Exam 2026 [Paperback] PW",Physics Wallah,4.8,430,15 years and up,536,English,Physics Wallah (1 May 2025); Physics Wallah (PW),9 g,1 Count,India,no description
183,"Drishti UGC NET/JRF/SET Paper 1 Hindi, 30+ Papers, Updated Syllabus, Teaching/Research Aptitude, Reasoning, Data Interpretation, ICT, ... Higher Education, ugc net paper 1 book 2025",Drishti Publications,5.0,363,no reading age,560,no language,"VDK PUBLICATIONS PVT LTD; 8th Edition (31 August 2025); VDK PUBLICATIONS PVT LTD Block-Udyog Vihar, Plot No-38b, Sector Ecotech- 2, Greater Noida, Gautam Budh Nagar, Uttar Pradesh, 201308",896 g,no quantity,no country,no description
184,"MTG Class-6 National Science Olympiad (NSO) Workbook, Prep-Guide & Previous Years Papers (PYQs) with Mock Test Paper (Set of 3 Books) - SOF Olympiad Books For 2025-26 Exam",MTG Editorial Board,4.5,462,no reading age,400,English,"MTG Learning Media Pvt. Ltd. (14 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",623 g,623 Count,India,no description
185,Disha UPSC Paper 2 CSAT 31 Topic-wise IAS UPSC Prelims Previous Year Question Papers (1995 - 2025) with 3 Practice Sets | Civil Services Aptitude Test PYQs | UPSC Book 2025 - 26 by Mrunal Patel,Mrunal Patel,4.5,229,15 years and up,304,English,AIETS.COM PVT. LTD.; 2nd edition (5 June 2025); AIETS.COM PVT. LTD.,550 g,no quantity,India,"Mrunal Patel is a renowned faculty in UPSC Civil Services Exam coaching field for over a decade. Presently, He is associated with SPIPA (Ahmedabad), Pt. Deen Dayal Petroleum University (PDPU, Gandhinagar) and Unacademy. He is very popular among IAS aspirants for Economics and is popularly known as Mrunal. He's a recipient of the official Youtube Golden Button Award- for his education channel, which has more than 1.10 million subscribers. His book on UPSC Prelims is among Top-20 Best-Sellers on Amazon."
186,Arihant Insight Rajasthan Kala Evam Sanskriti Book | RPSC and RSMSSB Exam Guide 2025 | Rajasthan Art and Culture | Updated with Latest Districts | Coloured Edition for Competitive Exams (Pre and Mains) | Hindi Medium,Shivanya Gupta,5.0,206,no reading age,296,Hindi,"ARIHANT PUBLICATIONS INDIA LIMITED (22 May 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",474 g,1 Count,India,no description
187,"UP Police Daroga Exam Book 2025 (Hindi Medium) | Competitive Exam Preparation Guide with FREE Current Affairs July–Sept 2025 | General Studies, GK, ... History, Geography, Economics, Science",Kumar Gaurav Sir,5.0,no price,no reading age,1154,Hindi,UTKARSH (2 October 2025),950 g,8 Count,no country,no description
188,"MTG Class-5 National Science Olympiad (NSO) Workbook, Prep-Guide & Previous Years Papers (PYQs) with Mock Test Paper (Set of 3 Books) - SOF Olympiad Books For 2025-26 Exam",MTG Editorial Board,4.6,437,no reading age,348,English,"MTG Learning Media Pvt. Ltd. (14 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",568 g,568 Count,India,no description
189,"UPSC EPFO EO/AO/APFC 2025 (Enforcement Officer, Accounts Officer, Assistant Provident Fund Commissioner) Questions Book on Industrial Relations | ... | Auditing | Computer Awareness by EduTap",EduTap Learning Solutions,5.0,425,15 years and up,500,no language,EduTap Learning Solutions; First Edition (6 October 2025),1 kg,no quantity,India,no description
190,Behind The Door (The Watchman Book 7) (Hindi Edition),SANTOSH PATHAK,4.7,no price,no reading age,310,Hindi,Thrill World; 1st edition (7 October 2025),no weight,no quantity,no country,no description
191,Macmillan GK Star – 1 | General Knowledge Book for Class 1 | GK Book for Kids Age 4-8 Years Old,AMRITA BHARATI,4.0,294,4 - 8 years,64,English,Macmillan Education India Pvt. Ltd. (5 August 2025),150 g,no quantity,India,no description
192,Behind The Door (The Watchman Book 7) (Hindi Edition),SANTOSH PATHAK,4.7,no price,no reading age,310,Hindi,Thrill World; 1st edition (7 October 2025),no weight,no quantity,no country,no description
193,Glucose Revolution(PaperBack),THE BOOK WORM,5.0,349,10 years and up,250,no language,THE BOOK WORM; Special Edition (31 December 2023),249 g,no quantity,no country,no description
194,DSSSB PRT Part-B Teaching Methodology | 2000+ TA/TM Questions with Explanations | Based on NIOS & NCTE Curriculum | Bilingual Book | Latest DSSSB Pattern,Rohit Vaidwan,no rating,499,no reading age,450,English,Garuda Prakashan Pvt. Ltd (25 September 2025),490 g,1 Count,India,no description
195,"Victory Code Unlocked, Telugu Book on Election Winning Strategies Special Edition",Dr. Chandrashekar Kolapuri,no rating,219,18 years and up,87,no language,MOHAN PUBLICATIONS; Special Edition (4 October 2025),80 g,1 Count,India,no description
196,"Blue Book Series Booster Reasoning Book by Prateek Shivalik | 2500+ Topic Wise Questions | Latest Pattern MCQs For DSSSB, CTET, UPTET, KVS, PGT, PRT, TGT & All Teaching Exams 2025 (English)",Prateek Shivalik,5.0,329,18 years and up,362,English,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),630 g,1.0 Count,no country,no description
197,NEERAJ English - XII | English Medium for Class 12th NIOS Syllabus | Chapter Wise Help Book/Guide Including Many Solved Sample Papers & Important Exam Notes (Question Bank) | Neeraj Publications,NEERAJ PUBLICATIONS,4.6,192,no reading age,196,no language,Neeraj Publications (www.neerajbooks.com) (18 May 2025),276 g,1 Count,India,no description
198,Kahaniyon Ka Kahaniyaana । कहानियों का कहानियाँना,Vinod Kumar Shukla,3.5,224,no reading age,160,Hindi,"Hind Yugm; Special Edition (24 September 2025); Hind Yugm, C-31, Sector-20, Noida (UP)-201301. Ph-0120-4374046",140 g,1 Count,India,"विनोद कुमार शुक्ल (जन्म : 1937) भारतीय-हिंदी साहित्य के एक अत्यंत समादृत हस्ताक्षर हैं। उन्होंने कविता और कथा में स्वयं को बरतते हुए एक ऐसी अभूतपूर्व भाषा संभव की जिसमें अचरज, सुख और सरोकार साथ-साथ चलते हैं—पठनीयता को बाधित किए बग़ैर। उनके नौ कविता-संग्रह, पाँच कहानी-संग्रह, छह उपन्यास प्रकाशित हैं। संसार की लगभग सभी बड़ी भाषाओं में उनकी रचनाएँ अनूदित हो चुकी हैं। वे रंगमंच और सिनेमा में उतरकर प्रशंसित-पुरस्कृत हो चुकी हैं।"
199,The Silent Patient: A Gripping Thriller By Alex Michaelides,Alex Michaelides,no rating,220,no reading age,276,no language,Jain Books Depo (14 July 2019),246 g,no quantity,India,no description
200,Rahat Ni Rojnishi - One page a day is enough for our lifeline By Dr. Nimitt Oza (રાહતની રોજનીશી-રોજનું એક પાનું ) (Rahatni Rojnishi),Dr. Nimitt Oza,no rating,255,no reading age,170,"Gujarati, Gujarati",GUJARATI BOOKS; First Edition (1 October 2025),200 g,no quantity,India,no description
201,"Kaniyan TNUSRB Police Exam Book 2025 New Edition | Tamil Eligibility Test Supplement Included | Complete Study Guide for Paper 1 & Paper 2 with Solved Papers, Model Tests & Updated Syllabus",V.PALANIKUMAR,4.6,849,10 years and up,1108,no language,KANIYAN PATHIPPAGAM; First Edition (22 November 2024),1 kg 900 g,1 Kilograms,India,no description
202,Complete Guide to ADA Haryana Exam with Current Affairs Book - A Comprehensive Study Material,Taarun K. Chuttani,no rating,730,16 years and up,520,English,Bar & Bench Publications; 2025th edition (11 September 2025),890 g,1.0 Count,India,no description
203,2025-26 SSE EMRS Hostel Warden Solved Papers and Practice Book 200 395. This book contains the previous solved papers and practice book.,YCT EXPERT TEAM,no rating,257,no reading age,200,no language,YCT Books (30 September 2025); YCT Books,360 g,no quantity,India,no description
204,"DRISHTI UPSC Civil Services Mains Previous 13 Years’ Solved Papers 2013–2025, 8th Edition, Model Answers with Examples, For IAS/UPSC CSE Mains Exam Preparation, UPSC Books 2025",Drishti Publications,no rating,449,no reading age,880,no language,"VDK PUBLICATIONS PVT LTD; 8th Edition (23 September 2025); VDK PUBLICATIONS PVT LTD Block-Udyog Vihar, Plot No-38b, Sector Ecotech- 2, Greater Noida, Gautam Budh Nagar, Uttar Pradesh, 201308",1 kg 410 g,1 Count,India,no description
205,அண்ணா நானூறு: Anna 400 (Perarignar Anna's Writings and Speeches Book 4) (Tamil Edition),பேரறிஞர் அண்ணா,4.4,no price,no reading age,313,Tamil,no publisher,no weight,no quantity,no country,no description
206,SURA`S TN-TET Mathematics and Science Paper II ALL in ONE 5 in 1 Exam Book Guide in Tamil Medium 2026,A Panel of Authors,3.4,"1,260",15 years and up,1450,no language,SURA COLLEGE OF COMPETITION; Latest Edition (18 September 2025),490 g,1 Pack,India,no description
207,"Arihant Daksh Samanya Hindi Book | General Hindi Guide for Competitive Exams 2025 | UPPSC, SSC, TET, CTET, UGC NET, Police, CET, CUET, B.Ed, RO/ARO, Constable & Other Exams | Latest Revised Edition",Onkar Nath Verma,5.0,188,no reading age,380,English,"ARIHANT PUBLICATIONS INDIA LIMITED (23 June 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",608 g,1 Count,India,no description
208,100M Leads + 100M Offers + 100M Money Models | Alex Hormozi Book Set of 3,By Team,no rating,899,no reading age,200,English,CREAZIONE PRODUCTION (31 May 2025),200 g,no quantity,India,no description
209,"How to Read Faster: Speed Reading Guide: Unlock Your Brain’s Full Potential with Proven Techniques to Improve Focus, Comprehension, and Productivity",Book,5.0,no price,no reading age,100,English,no publisher,no weight,no quantity,no country,no description
210,SSC Reasoning 7200+ MCQs Book | Chapterwise Practice with Detailed Explanation | Based on Latest SSC Exam Pattern 2025 ( Eduquity Based ) | English Medium | 8th Edition,Pinnacle Publications,no rating,499,17 years and up,616,English,Pinnacle Publications (21 September 2025); Pinnacle Publications,920 g,1 Count,India,no description
211,Ret Ki Machhali & Gunahon Ka Devta (Paper Back),THE BOOK WORM,4.0,349,10 years and up,486,no language,THE BOOK WORM; Special Edition (31 December 2023),440 g,no quantity,no country,no description
212,"TGT Social Science (SST) Exam Book 2025 - 2026 (Bilingual Edition) for DSSSB, KVS, NVS, EMRS, HTET, UP TGT (UPTGT) Also Useful for Other Teaching ... Mantra | By Rohit Vaidwan - S Chand Books",no author,no rating,397,no reading age,520,Multilingual,no publisher,490 g,1 Count,no country,no description
213,"Slavery | Mahatma Jyotiba Phule | Gulamgiri | English Books, Book | Jyotirao Fule | Shetkaryancha Asood | The Cultivator's Whipcord | Jotiba Jotirao, Savitribai Phule Jyoti Rao Phulle | Aasud Sarvajanik Satyadharma Shetkaryacha Asud Jivan Kranti |महात्मा ज्योतिबा फुले",Mahatma Jyotirao Phule,5.0,148,no reading age,136,English,"Infinite Words (20 May 2025); An imprint of Saket Prakashan Pvt. Ltd. 115, Mahatma Gandhi Nagar, Station Road, Chh. Sambhaji Nagar 431005, Maharashtra, India, 7517745605",129 g,no quantity,India,"Jyotirao Govindrao Phule
(1827–1890)

Jyotirao Govindrao Phule was a pioneering social reformer, thinker, and writer who tirelessly fought against social injustices in 19th-century India. Born into a marginalized Mali (gardener) family in Pune, Maharashtra, Phule was acutely aware of the pervasive inequalities plaguing Indian society. Despite facing numerous obstacles, he pursued education and emerged as one of the era's most influential voices advocating for the upliftment of the oppressed.
Phule's relentless efforts to combat caste discrimination, gender inequality, and the exploitation of marginalized communities earned him the title of ""Mahatma"" among his followers. He, along with his wife Savitribai Phule—one of India's first female teachers—laid the foundations for women's education and empowerment by establishing schools exclusively for girls and ensuring that education was accessible to all, regardless of caste or gender.
Jyotirao Phule’s seminal works, such as Slavery (Gulamgiri), critique the entrenched social structures and call for radical changes to establish equality and justice. His writings expose the hypocrisies of the caste system and religious orthodoxy, advocating for an inclusive society where the dignity of all individuals is respected."
214,Pyari Sahar (Daakkhane Se Lauti Chitthiyan) | Hindi Book of Letters by Aditya Rahbar,Aditya Rahbar,5.0,185,no reading age,152,no language,Pankti Prakashan (25 September 2025),140 g,no quantity,India,no description
215,"Arihant SSC Delhi Police Head Constable (Ministerial) Written Test 2025 Book | SSC Delhi Police Exam Guide | General Awareness, Reasoning, ... Sets & Solved Papers | English Medium",Arihant Expert Team,no rating,299,no reading age,440,English,"ARIHANT PUBLICATIONS INDIA LIMITED (29 September 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",704 g,1 Count,no country,no description
216,Fear of failure self help book: A journey from fear to freedom,Sher singh Saini,no rating,no price,no reading age,34,English,no publisher,no weight,no quantity,no country,no description
217,"Rahat Ni Rojnishi (રાહતની રોજનીશી) – One Page a Day is Enough for Our Lifeline | Inspirational Gujarati Book by Dr. Nimit Oza | Self-Help, Motivation & Life Lessons in Gujarati (First Edition)",Dr. Nimit Oza,no rating,298,15 years and up,172,no language,Book Assets; First Edition (1 October 2025),230 g,1 Piece,India,no description
218,"A Joke Book for Kids 8-12: Funny Riddles, Brain-Teasers, and Puns to Make Boys and Girls Laugh..",Janet Leo,no rating,no price,no reading age,260,English,no publisher,no weight,no quantity,no country,no description
219,चिऊकाऊ मराठी | बालगीतांची दोन पुस्तके (हत्तोबा आणि सूर्योबा) | चिऊकाऊची गाणी | लहान मुलांसाठी पुस्तके | Marathi Books for Kids | Chiu Kau | Set of 2 Books for Children,Chiu Kau,no rating,250,no reading age,80,no language,Chiu Kau Prakashan (21 September 2025),280 g,no quantity,India,no description
220,"Demon Slayer: Kimetsu No Yaiba, Vol. 01 by Koyoharu Gotouge With Free Magnet Bookmark (Book)",NovelNest,no rating,280,3 years and up,350,English,NovelNest; First Edition (29 February 2020),250 g,1 Count,India,no description
221,GATE Computer Science & IT Engineering Book 2026 | GATE CSE 30 Years Previous Year Solved Paper (1996 - 2025) | Best Seller PYQ for GATE Computer Science and Information Technology Exam in India | Section & Topic-wise Sorted Previous Year Questions Papers with Detailed Solutions | IFAS Publications,IFAS Publications,4.7,665,16 years and up,758,English,IFAS Publications; Special Edition (1 June 2025),1 kg 300 g,no quantity,India,no description
222,Sainik School Practice Set Book Class 6 with Latest Solved Paper for (AISSEE) All India Sainik Schools Entrance Exam 2026 (English Medium),Radian Book Company,no rating,231,10 years and up,240,English,"Radian Book Company; 5th edition (11 September 2025); Radian Book Company, Mangolpuri, New Delhi, 110083",430 g,1 Count,India,no description
223,"Diwar Me Ek Khidki Rehti Thi,(PaperBack)",THE BOOK WORM,5.0,199,10 years and up,320,no language,THE BOOK WORM; Special Edition (31 December 2023),240 g,no quantity,no country,no description
224,Classic Shine The Hundred Page Machine Learning Book Paperback In English (817) Books for Students and Adults,Andriy Burkov,no rating,599,12 years and up,142,no language,Classic Shine (23 July 2025); Classic Shine,no weight,no quantity,India,no description
225,"Arihant Workbook Our Wondrous World Class 5 | NCERT Textbook Based 2025 Edition | EVS Workbook with Activity Based Questions, Practice Worksheets & Exercises for CBSE/NCERT Class 5 Students | English Medium",Priya Prakash,no rating,115,no reading age,74,English,"ARIHANT PUBLICATIONS INDIA LIMITED (30 August 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",118 g,1 Count,India,no description
226,Hindi Poetry book Log In Zindagi,Monica Tundwal,no rating,140,15 years and up,67,no language,Writer's Pocket (2 October 2025),200 g,no quantity,India,no description
227,The Blogchatter Book of Food,Various Authors,no rating,350,no reading age,216,no language,Readomania (18 September 2025),250 g,1 Count,India,no description
228,"Interview Challenger [WBSSC,Primary & Upper Primary] A Guide for Interview Success (Bengali Version)",Dr. Wasim Akram Mandal,5.0,195,10 years and up,144,no language,Annesha; First Edition (9 October 2025),350 g,no quantity,India,no description
229,500+ MCQ's Current Affairs Book September 2025 By Dr. Gaurav Garg (English Edition),Dr. Gaurav Garg,no rating,139,no reading age,93,no language,Study IQ; First Edition (3 October 2025),250 g,no quantity,India,no description
230,"Gintag Publishing Twisted Series Set of 4 Books | Twisted Love, Twisted Games, Twisted Hate & Twisted Lies | Romantic Fiction Box Set | Contemporary Steamy Romance Novels for Adults",GINTAG PUBLISHING,no rating,599,no reading age,1936,no language,GINTAG PUBLISHING; Special Edition (7 September 2025),390 g,no quantity,India,no description
231,"A Pocket Book Of Vedic Vastu: Energise Your Space, Empower Your Mind",Dr Jayshree Om,no rating,no price,no reading age,141,English,no publisher,no weight,no quantity,no country,no description
232,2025-26 SSE EMRS TGT/PGT Solved Papers and Practice Book 368 695. This book contains 17 sets of the previous solved papers and practice book.,YCT EXPERT TEAM,no rating,439,no reading age,368,no language,YCT Books (30 September 2025); YCT Books,640 g,no quantity,India,no description
233,"Examcart Madhya Pradesh MP Police Constable Bharti Exam Book 2025 | 20 Solved Papers with Complete Solutions | For General Duty, Driver & Tradesman | ... Recruitment Previous Year Papers (Hindi)",Examcart Experts,no rating,247,15 years and up,238,Hindi,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (19 September 2025),361 g,1.0 Count,India,no description
234,Upper Primary TET Social Studies (Bengali Version),Jagannath Jana,no rating,499,10 years and up,729,no language,Barnaparichaya Publishers; First Edition (6 October 2025); Barnaparichaya Publishers,230 g,1.0 Count,India,no description
235,"English TGT & PGT Exam Book 2025 - 2026 for DSSSB, KVS, NVS, EMRS, HTET, UP TGT & PGT (UPTGT/UPPGT) Also Useful for Other Teaching Competitive Exams | ... Mantra | By Rohit Vaidwan - S Chand Books",Rohit Vaidwan,no rating,397,16 years and up,444,English,S Chand and Company Ltd; Latest Edition 2025 - 2026 (15 September 2025),433 g,1 Count,no country,no description
236,Central Hindu School (CHS) For Class 9th Entrance Exam Guide Book For 2025-26 Exams By Arihant Publication in English,ARIHANT PUBLICATIONS,no rating,340,10 years and up,497,English,GERERIC; 2025-26 edition (11 May 2025),300 g,no quantity,India,no description
237,Scholars Hub Hindi Storybook for Children- Naitik Kahaniya( Set of 6 books) (Illustrated) (For Ages 3-6) | Single Line Story Books for Kids,SCHOLARS HUB,5.0,399,3 - 6 years,96,Hindi,"SCHOLARS HUB (1 January 2019); Scholars Hub, New Delhi.",400 g,6.00 Count,no country,no description
238,Entangled Vows: Destined Diaries Book 2,Era Mable,5.0,no price,no reading age,503,English,no publisher,no weight,no quantity,no country,no description
